Vardas         Pavarde        Galutinis (vid.)
vardas140      pavarde140      6.28
vardas143      pavarde143      5.72
vardas145      pavarde145      5.08
vardas146      pavarde146      5.32
vardas148      pavarde148      5.16
vardas151      pavarde151      8.24
vardas153      pavarde153      8.16
vardas155      pavarde155      8.48
vardas156      pavarde156       5.4
vardas157      pavarde157      8.16
vardas160      pavarde160       7.8
vardas161      pavarde161      7.96
vardas164      pavarde164      6.08
vardas165      pavarde165      5.36
vardas166      pavarde166      8.04
vardas167      pavarde167       6.6
vardas168      pavarde168      5.48
vardas171      pavarde171      7.16
vardas173      pavarde173      6.44
vardas174      pavarde174       5.2
vardas175      pavarde175         5
vardas177      pavarde177      7.56
vardas178      pavarde178      5.28
vardas179      pavarde179         6
vardas181      pavarde181      7.48
vardas182      pavarde182      6.32
vardas184      pavarde184      8.64
vardas186      pavarde186       6.2
vardas187      pavarde187       5.6
vardas188      pavarde188      7.48
vardas191      pavarde191       5.8
vardas192      pavarde192      5.64
vardas193      pavarde193      5.56
vardas194      pavarde194      7.56
vardas197      pavarde197      7.84
vardas199      pavarde199      5.56
vardas201      pavarde201      6.76
vardas205      pavarde205       6.4
vardas207      pavarde207      7.04
vardas208      pavarde208      6.04
vardas209      pavarde209      7.16
vardas213      pavarde213      5.96
vardas214      pavarde214      8.16
vardas217      pavarde217      6.16
vardas218      pavarde218      5.28
vardas219      pavarde219       7.2
vardas220      pavarde220      6.88
vardas225      pavarde225      7.64
vardas226      pavarde226       5.8
vardas230      pavarde230      6.64
vardas234      pavarde234       5.4
vardas235      pavarde235      7.72
vardas239      pavarde239       5.4
vardas240      pavarde240      7.72
vardas242      pavarde242      5.68
vardas243      pavarde243         8
vardas244      pavarde244      6.32
vardas245      pavarde245      8.16
vardas246      pavarde246      5.32
vardas247      pavarde247       5.2
vardas251      pavarde251      7.76
vardas252      pavarde252      5.24
vardas254      pavarde254      6.08
vardas255      pavarde255      8.76
vardas256      pavarde256      5.92
vardas257      pavarde257       6.4
vardas258      pavarde258       5.4
vardas259      pavarde259      7.32
vardas260      pavarde260      7.12
vardas262      pavarde262      7.12
vardas263      pavarde263      5.88
vardas264      pavarde264      6.32
vardas265      pavarde265      7.56
vardas267      pavarde267      6.08
vardas268      pavarde268      6.88
vardas269      pavarde269      5.68
vardas270      pavarde270      7.12
vardas271      pavarde271      5.24
vardas275      pavarde275         5
vardas276      pavarde276      8.36
vardas277      pavarde277      7.16
vardas278      pavarde278      7.24
vardas283      pavarde283       5.2
vardas285      pavarde285      7.24
vardas286      pavarde286         5
vardas287      pavarde287      8.92
vardas288      pavarde288         7
vardas289      pavarde289      6.56
vardas291      pavarde291      6.72
vardas292      pavarde292      7.12
vardas294      pavarde294      6.52
vardas295      pavarde295       6.4
vardas297      pavarde297      6.64
vardas303      pavarde303       6.4
vardas304      pavarde304      5.72
vardas305      pavarde305      6.84
vardas310      pavarde310      6.12
vardas311      pavarde311      6.44
vardas313      pavarde313       6.6
vardas320      pavarde320      6.92
vardas322      pavarde322       7.2
vardas323      pavarde323       6.4
vardas324      pavarde324      8.72
vardas326      pavarde326      7.44
vardas327      pavarde327      6.28
vardas332      pavarde332      7.08
vardas333      pavarde333       7.2
vardas334      pavarde334      5.48
vardas336      pavarde336       5.4
vardas337      pavarde337      8.24
vardas340      pavarde340      6.12
vardas342      pavarde342      7.16
vardas343      pavarde343      8.16
vardas345      pavarde345      6.48
vardas348      pavarde348      5.04
vardas349      pavarde349      7.84
vardas350      pavarde350      9.04
vardas351      pavarde351      7.16
vardas353      pavarde353      6.88
vardas354      pavarde354      6.56
vardas356      pavarde356       7.6
vardas357      pavarde357      6.12
vardas358      pavarde358      6.96
vardas359      pavarde359      7.28
vardas361      pavarde361      7.04
vardas362      pavarde362      5.84
vardas368      pavarde368      6.64
vardas370      pavarde370      7.56
vardas371      pavarde371      7.72
vardas372      pavarde372      6.08
vardas374      pavarde374      7.52
vardas376      pavarde376       5.2
vardas378      pavarde378       8.8
vardas382      pavarde382         8
vardas384      pavarde384       6.8
vardas385      pavarde385      6.64
vardas392      pavarde392      6.64
vardas393      pavarde393      7.44
vardas396      pavarde396      8.08
vardas399      pavarde399      5.16
vardas400      pavarde400      7.64
vardas402      pavarde402      5.44
vardas403      pavarde403      7.64
vardas405      pavarde405       7.4
vardas407      pavarde407      9.36
vardas409      pavarde409       6.6
vardas410      pavarde410       6.8
vardas412      pavarde412      6.16
vardas413      pavarde413       9.6
vardas414      pavarde414      6.52
vardas416      pavarde416      7.92
vardas417      pavarde417       5.8
vardas419      pavarde419      7.24
vardas420      pavarde420      6.48
vardas422      pavarde422       6.2
vardas425      pavarde425       7.8
vardas426      pavarde426       7.2
vardas427      pavarde427      7.72
vardas429      pavarde429      6.76
vardas430      pavarde430      6.16
vardas431      pavarde431      6.52
vardas432      pavarde432      5.36
vardas434      pavarde434      6.28
vardas435      pavarde435       8.4
vardas436      pavarde436      8.56
vardas437      pavarde437      5.28
vardas438      pavarde438      6.36
vardas440      pavarde440      6.28
vardas442      pavarde442      6.64
vardas443      pavarde443      5.12
vardas446      pavarde446       5.4
vardas447      pavarde447      7.92
vardas449      pavarde449         7
vardas450      pavarde450      8.72
vardas452      pavarde452      5.96
vardas460      pavarde460      5.56
vardas461      pavarde461      7.24
vardas462      pavarde462      7.12
vardas463      pavarde463      7.04
vardas466      pavarde466      7.92
vardas469      pavarde469      8.64
vardas475      pavarde475      7.28
vardas478      pavarde478      6.72
vardas479      pavarde479      5.08
vardas480      pavarde480      7.56
vardas481      pavarde481      6.04
vardas484      pavarde484      7.36
vardas485      pavarde485      7.04
vardas488      pavarde488       5.8
vardas489      pavarde489      7.72
vardas490      pavarde490      6.48
vardas492      pavarde492       6.2
vardas494      pavarde494      9.76
vardas495      pavarde495      7.72
vardas497      pavarde497      7.76
vardas498      pavarde498       7.4
vardas500      pavarde500      7.24
vardas501      pavarde501         6
vardas502      pavarde502      7.04
vardas505      pavarde505      5.68
vardas507      pavarde507      7.16
vardas509      pavarde509      5.16
vardas511      pavarde511      7.76
vardas512      pavarde512         6
vardas513      pavarde513      6.72
vardas514      pavarde514      6.52
vardas515      pavarde515      5.28
vardas520      pavarde520      6.16
vardas521      pavarde521      6.24
vardas524      pavarde524      5.88
vardas526      pavarde526      9.04
vardas527      pavarde527      7.24
vardas529      pavarde529      7.32
vardas530      pavarde530      5.12
vardas531      pavarde531      5.88
vardas534      pavarde534       5.6
vardas537      pavarde537      6.24
vardas539      pavarde539       6.6
vardas540      pavarde540      7.12
vardas541      pavarde541       5.4
vardas542      pavarde542       6.6
vardas543      pavarde543      8.16
vardas545      pavarde545       5.6
vardas546      pavarde546      7.72
vardas547      pavarde547      6.88
vardas548      pavarde548      5.28
vardas549      pavarde549      6.48
vardas551      pavarde551       5.4
vardas553      pavarde553      8.08
vardas554      pavarde554         6
vardas556      pavarde556      7.48
vardas557      pavarde557      5.16
vardas558      pavarde558       6.6
vardas559      pavarde559       5.6
vardas560      pavarde560      8.88
vardas561      pavarde561      7.04
vardas562      pavarde562      7.04
vardas563      pavarde563      7.64
vardas564      pavarde564      6.84
vardas565      pavarde565      8.48
vardas568      pavarde568      6.52
vardas569      pavarde569       8.6
vardas570      pavarde570      8.08
vardas573      pavarde573       5.4
vardas574      pavarde574      5.12
vardas575      pavarde575      8.16
vardas578      pavarde578       8.4
vardas582      pavarde582      7.68
vardas583      pavarde583      6.24
vardas586      pavarde586      7.92
vardas589      pavarde589      7.56
vardas590      pavarde590      5.72
vardas592      pavarde592      8.24
vardas593      pavarde593      6.52
vardas595      pavarde595      7.16
vardas596      pavarde596      6.56
vardas597      pavarde597      6.68
vardas598      pavarde598      7.04
vardas599      pavarde599      7.52
vardas600      pavarde600      8.08
vardas601      pavarde601      6.32
vardas603      pavarde603         5
vardas604      pavarde604      7.88
vardas606      pavarde606       6.8
vardas609      pavarde609      8.56
vardas612      pavarde612      6.32
vardas613      pavarde613      6.68
vardas614      pavarde614      7.52
vardas615      pavarde615      7.56
vardas616      pavarde616       7.2
vardas617      pavarde617      6.52
vardas618      pavarde618      7.08
vardas620      pavarde620      6.76
vardas621      pavarde621      5.12
vardas622      pavarde622       7.2
vardas623      pavarde623      7.04
vardas624      pavarde624         7
vardas625      pavarde625      6.56
vardas626      pavarde626      6.48
vardas627      pavarde627      5.08
vardas628      pavarde628      5.24
vardas629      pavarde629       6.2
vardas630      pavarde630      6.36
vardas631      pavarde631      5.88
vardas632      pavarde632       6.6
vardas633      pavarde633      6.52
vardas635      pavarde635      6.96
vardas637      pavarde637      7.76
vardas638      pavarde638      8.56
vardas639      pavarde639       5.2
vardas641      pavarde641      8.64
vardas642      pavarde642      7.88
vardas644      pavarde644      5.64
vardas647      pavarde647      5.48
vardas648      pavarde648      7.04
vardas649      pavarde649      6.48
vardas653      pavarde653      6.52
vardas655      pavarde655      8.04
vardas656      pavarde656      7.12
vardas657      pavarde657         5
vardas658      pavarde658       6.6
vardas661      pavarde661      5.76
vardas665      pavarde665      6.28
vardas666      pavarde666      6.12
vardas668      pavarde668      5.52
vardas670      pavarde670      7.68
vardas671      pavarde671      8.88
vardas673      pavarde673       6.6
vardas675      pavarde675      7.12
vardas676      pavarde676       5.6
vardas680      pavarde680      7.88
vardas681      pavarde681      7.52
vardas684      pavarde684       5.6
vardas685      pavarde685      8.72
vardas686      pavarde686      7.32
vardas687      pavarde687      5.88
vardas688      pavarde688      5.32
vardas689      pavarde689       6.2
vardas691      pavarde691       5.2
vardas692      pavarde692      7.32
vardas693      pavarde693      5.04
vardas695      pavarde695      7.12
vardas696      pavarde696      7.36
vardas698      pavarde698      6.08
vardas699      pavarde699       5.4
vardas701      pavarde701      6.44
vardas708      pavarde708      6.44
vardas709      pavarde709      7.16
vardas712      pavarde712      5.68
vardas715      pavarde715       6.6
vardas716      pavarde716      6.92
vardas717      pavarde717      5.36
vardas721      pavarde721      6.68
vardas723      pavarde723       8.2
vardas725      pavarde725      6.76
vardas726      pavarde726      8.72
vardas728      pavarde728      5.44
vardas729      pavarde729      7.32
vardas731      pavarde731      5.96
vardas733      pavarde733      5.28
vardas738      pavarde738      6.56
vardas739      pavarde739         8
vardas741      pavarde741      8.72
vardas742      pavarde742      6.56
vardas744      pavarde744      6.52
vardas745      pavarde745      6.24
vardas746      pavarde746      6.24
vardas748      pavarde748         7
vardas749      pavarde749      6.52
vardas751      pavarde751      5.48
vardas752      pavarde752      5.52
vardas755      pavarde755      8.96
vardas756      pavarde756      7.04
vardas757      pavarde757      7.32
vardas759      pavarde759      5.24
vardas760      pavarde760       7.4
vardas761      pavarde761      6.12
vardas762      pavarde762      7.16
vardas763      pavarde763      8.04
vardas764      pavarde764      5.84
vardas765      pavarde765      8.32
vardas766      pavarde766      6.44
vardas768      pavarde768      5.12
vardas771      pavarde771      6.28
vardas772      pavarde772       6.8
vardas773      pavarde773      7.04
vardas775      pavarde775      8.32
vardas776      pavarde776      6.92
vardas778      pavarde778       8.8
vardas779      pavarde779      6.36
vardas780      pavarde780      6.12
vardas782      pavarde782      5.72
vardas783      pavarde783         5
vardas784      pavarde784       7.2
vardas785      pavarde785      5.12
vardas787      pavarde787      8.32
vardas791      pavarde791      5.24
vardas794      pavarde794      6.88
vardas795      pavarde795      8.56
vardas796      pavarde796      8.36
vardas797      pavarde797      8.72
vardas800      pavarde800      6.52
vardas802      pavarde802      8.52
vardas803      pavarde803      5.16
vardas804      pavarde804      5.12
vardas807      pavarde807      8.36
vardas810      pavarde810      8.72
vardas811      pavarde811      8.08
vardas815      pavarde815      6.48
vardas816      pavarde816      5.68
vardas819      pavarde819      8.36
vardas821      pavarde821       6.2
vardas822      pavarde822      7.64
vardas823      pavarde823      5.76
vardas824      pavarde824      5.12
vardas825      pavarde825      5.84
vardas826      pavarde826      5.48
vardas827      pavarde827      6.52
vardas828      pavarde828      7.32
vardas829      pavarde829      7.72
vardas831      pavarde831      6.84
vardas832      pavarde832      6.08
vardas833      pavarde833      5.88
vardas834      pavarde834      6.96
vardas835      pavarde835      7.48
vardas836      pavarde836       6.4
vardas838      pavarde838      5.84
vardas840      pavarde840      6.96
vardas841      pavarde841      7.36
vardas842      pavarde842      6.88
vardas843      pavarde843       6.8
vardas844      pavarde844      5.84
vardas845      pavarde845      6.56
vardas847      pavarde847      5.36
vardas848      pavarde848      7.72
vardas849      pavarde849      8.24
vardas851      pavarde851      7.24
vardas852      pavarde852      7.72
vardas853      pavarde853      8.64
vardas854      pavarde854      5.88
vardas856      pavarde856       6.6
vardas857      pavarde857      5.52
vardas859      pavarde859      5.16
vardas860      pavarde860      7.96
vardas862      pavarde862         8
vardas864      pavarde864      5.52
vardas865      pavarde865       8.4
vardas868      pavarde868      8.24
vardas869      pavarde869      5.72
vardas870      pavarde870      6.48
vardas874      pavarde874      6.84
vardas878      pavarde878       7.8
vardas885      pavarde885      5.64
vardas886      pavarde886      9.04
vardas890      pavarde890      7.88
vardas891      pavarde891      7.08
vardas892      pavarde892       7.8
vardas893      pavarde893      6.16
vardas894      pavarde894      9.04
vardas902      pavarde902      5.08
vardas905      pavarde905      7.56
vardas906      pavarde906      5.76
vardas909      pavarde909      7.12
vardas910      pavarde910      7.84
vardas913      pavarde913      5.64
vardas914      pavarde914      6.24
vardas916      pavarde916      7.12
vardas919      pavarde919      5.24
vardas920      pavarde920      8.48
vardas923      pavarde923      8.56
vardas924      pavarde924      5.48
vardas926      pavarde926      5.52
vardas927      pavarde927         7
vardas928      pavarde928       8.8
vardas931      pavarde931      7.72
vardas932      pavarde932      7.68
vardas939      pavarde939       8.8
vardas940      pavarde940      7.76
vardas943      pavarde943      7.48
vardas944      pavarde944      6.48
vardas945      pavarde945      7.44
vardas946      pavarde946      7.92
vardas947      pavarde947      5.92
vardas948      pavarde948      8.88
vardas949      pavarde949      6.92
vardas951      pavarde951      8.68
vardas952      pavarde952      6.88
vardas953      pavarde953      5.92
vardas955      pavarde955       8.4
vardas957      pavarde957      6.44
vardas958      pavarde958         5
vardas959      pavarde959         8
vardas961      pavarde961       6.2
vardas963      pavarde963      8.72
vardas966      pavarde966       7.8
vardas967      pavarde967      5.56
vardas969      pavarde969      6.72
vardas974      pavarde974       6.2
vardas975      pavarde975      5.52
vardas977      pavarde977      6.08
vardas979      pavarde979      7.96
vardas982      pavarde982      6.92
vardas983      pavarde983      7.64
vardas985      pavarde985      6.88
vardas986      pavarde986      5.84
vardas987      pavarde987      5.28
vardas989      pavarde989      5.92
vardas990      pavarde990      5.88
vardas991      pavarde991      7.72
vardas992      pavarde992       6.6
vardas993      pavarde993      8.36
vardas994      pavarde994      8.72
vardas995      pavarde995      6.44
vardas996      pavarde996      6.48
vardas998      pavarde998      8.64
vardas999      pavarde999       5.4
vardas1001     pavarde1001     8.24
vardas1002     pavarde1002      7.2
vardas1003     pavarde1003     7.36
vardas1006     pavarde1006     7.48
vardas1007     pavarde1007        5
vardas1008     pavarde1008     6.04
vardas1009     pavarde1009     7.32
vardas1010     pavarde1010      6.6
vardas1012     pavarde1012     7.32
vardas1013     pavarde1013     6.64
vardas1014     pavarde1014     7.84
vardas1015     pavarde1015     6.44
vardas1016     pavarde1016     5.36
vardas1017     pavarde1017     6.52
vardas1018     pavarde1018     8.32
vardas1019     pavarde1019      5.6
vardas1020     pavarde1020     5.16
vardas1021     pavarde1021     7.92
vardas1023     pavarde1023     5.84
vardas1027     pavarde1027     8.72
vardas1028     pavarde1028     5.36
vardas1030     pavarde1030     5.32
vardas1032     pavarde1032     5.72
vardas1033     pavarde1033     6.44
vardas1034     pavarde1034     5.36
vardas1035     pavarde1035     7.08
vardas1037     pavarde1037     7.68
vardas1043     pavarde1043     7.52
vardas1045     pavarde1045     5.68
vardas1046     pavarde1046     6.72
vardas1047     pavarde1047        5
vardas1049     pavarde1049     5.48
vardas1051     pavarde1051     7.12
vardas1052     pavarde1052     5.08
vardas1053     pavarde1053     5.68
vardas1054     pavarde1054     5.04
vardas1057     pavarde1057     9.28
vardas1058     pavarde1058      6.6
vardas1059     pavarde1059     5.36
vardas1060     pavarde1060     5.12
vardas1061     pavarde1061     5.24
vardas1062     pavarde1062     5.72
vardas1065     pavarde1065     8.24
vardas1066     pavarde1066     5.04
vardas1068     pavarde1068      6.4
vardas1069     pavarde1069     5.76
vardas1072     pavarde1072     6.76
vardas1073     pavarde1073     8.16
vardas1078     pavarde1078      7.6
vardas1079     pavarde1079     8.72
vardas1080     pavarde1080      5.8
vardas1088     pavarde1088     5.76
vardas1089     pavarde1089     6.36
vardas1090     pavarde1090     7.36
vardas1094     pavarde1094        5
vardas1095     pavarde1095     6.12
vardas1096     pavarde1096     7.92
vardas1097     pavarde1097      5.8
vardas1098     pavarde1098     5.72
vardas1099     pavarde1099     7.76
vardas1101     pavarde1101        7
vardas1102     pavarde1102     7.08
vardas1106     pavarde1106        8
vardas1107     pavarde1107     5.72
vardas1109     pavarde1109     6.12
vardas1114     pavarde1114     5.36
vardas1115     pavarde1115     8.64
vardas1116     pavarde1116      7.6
vardas1117     pavarde1117      5.4
vardas1120     pavarde1120     5.68
vardas1121     pavarde1121     8.64
vardas1122     pavarde1122     6.12
vardas1123     pavarde1123     5.36
vardas1125     pavarde1125     5.92
vardas1126     pavarde1126     6.24
vardas1129     pavarde1129     5.84
vardas1130     pavarde1130     6.76
vardas1132     pavarde1132        6
vardas1134     pavarde1134     5.84
vardas1135     pavarde1135     6.08
vardas1136     pavarde1136     5.68
vardas1137     pavarde1137     7.68
vardas1138     pavarde1138     5.28
vardas1140     pavarde1140     5.08
vardas1141     pavarde1141      6.8
vardas1142     pavarde1142      6.6
vardas1145     pavarde1145     6.08
vardas1147     pavarde1147     5.64
vardas1149     pavarde1149        8
vardas1151     pavarde1151     6.72
vardas1152     pavarde1152     5.16
vardas1153     pavarde1153     7.04
vardas1157     pavarde1157      6.2
vardas1163     pavarde1163     6.36
vardas1164     pavarde1164     6.76
vardas1165     pavarde1165        5
vardas1166     pavarde1166     8.04
vardas1167     pavarde1167     8.08
vardas1168     pavarde1168      6.2
vardas1169     pavarde1169     7.76
vardas1170     pavarde1170     6.36
vardas1173     pavarde1173      8.6
vardas1174     pavarde1174      7.2
vardas1175     pavarde1175     8.64
vardas1177     pavarde1177     6.48
vardas1179     pavarde1179        7
vardas1183     pavarde1183     5.76
vardas1184     pavarde1184     5.72
vardas1185     pavarde1185     6.52
vardas1188     pavarde1188     8.64
vardas1189     pavarde1189     7.28
vardas1191     pavarde1191     7.08
vardas1192     pavarde1192     6.88
vardas1193     pavarde1193        7
vardas1194     pavarde1194      8.8
vardas1195     pavarde1195      8.8
vardas1197     pavarde1197     5.04
vardas1198     pavarde1198        6
vardas1199     pavarde1199     6.92
vardas1203     pavarde1203     6.08
vardas1205     pavarde1205     6.56
vardas1207     pavarde1207     5.08
vardas1208     pavarde1208        5
vardas1210     pavarde1210     7.28
vardas1215     pavarde1215        7
vardas1217     pavarde1217     6.52
vardas1218     pavarde1218      8.4
vardas1221     pavarde1221      5.4
vardas1222     pavarde1222     8.08
vardas1223     pavarde1223     8.44
vardas1229     pavarde1229     6.84
vardas1231     pavarde1231     7.04
vardas1232     pavarde1232     6.48
vardas1233     pavarde1233     6.92
vardas1234     pavarde1234     6.48
vardas1236     pavarde1236      5.8
vardas1237     pavarde1237     7.44
vardas1238     pavarde1238      5.2
vardas1239     pavarde1239      5.8
vardas1240     pavarde1240     5.48
vardas1241     pavarde1241      5.6
vardas1244     pavarde1244     8.64
vardas1245     pavarde1245     6.48
vardas1246     pavarde1246     6.44
vardas1248     pavarde1248     8.24
vardas1250     pavarde1250     7.52
vardas1251     pavarde1251      5.6
vardas1252     pavarde1252     7.04
vardas1253     pavarde1253     5.64
vardas1254     pavarde1254     8.96
vardas1255     pavarde1255     5.96
vardas1256     pavarde1256     7.28
vardas1257     pavarde1257     5.08
vardas1258     pavarde1258     6.04
vardas1262     pavarde1262     7.76
vardas1268     pavarde1268     6.56
vardas1271     pavarde1271     5.16
vardas1273     pavarde1273     5.84
vardas1274     pavarde1274     6.72
vardas1275     pavarde1275     6.04
vardas1276     pavarde1276     8.28
vardas1277     pavarde1277     5.04
vardas1278     pavarde1278        6
vardas1279     pavarde1279      8.6
vardas1280     pavarde1280      6.6
vardas1281     pavarde1281     6.72
vardas1283     pavarde1283      6.8
vardas1284     pavarde1284     6.48
vardas1287     pavarde1287     7.08
vardas1289     pavarde1289     5.56
vardas1291     pavarde1291     7.84
vardas1292     pavarde1292     6.72
vardas1293     pavarde1293     5.96
vardas1294     pavarde1294      6.8
vardas1295     pavarde1295     7.44
vardas1296     pavarde1296      8.4
vardas1298     pavarde1298     6.92
vardas1299     pavarde1299     8.72
vardas1306     pavarde1306     5.16
vardas1308     pavarde1308     5.52
vardas1309     pavarde1309     7.12
vardas1311     pavarde1311     8.36
vardas1314     pavarde1314     8.04
vardas1315     pavarde1315     5.32
vardas1316     pavarde1316     6.48
vardas1317     pavarde1317     5.88
vardas1318     pavarde1318     7.04
vardas1319     pavarde1319        8
vardas1320     pavarde1320      6.6
vardas1321     pavarde1321     6.32
vardas1323     pavarde1323     6.04
vardas1326     pavarde1326     5.68
vardas1327     pavarde1327     5.44
vardas1331     pavarde1331      6.8
vardas1332     pavarde1332     6.08
vardas1333     pavarde1333     7.12
vardas1334     pavarde1334     5.24
vardas1335     pavarde1335        5
vardas1337     pavarde1337     5.04
vardas1338     pavarde1338     5.36
vardas1339     pavarde1339     6.56
vardas1340     pavarde1340      7.6
vardas1342     pavarde1342      6.6
vardas1343     pavarde1343     5.52
vardas1346     pavarde1346     6.08
vardas1347     pavarde1347      7.8
vardas1349     pavarde1349     7.08
vardas1351     pavarde1351     5.92
vardas1354     pavarde1354     8.44
vardas1357     pavarde1357     5.28
vardas1359     pavarde1359      6.8
vardas1362     pavarde1362      5.4
vardas1364     pavarde1364     7.24
vardas1365     pavarde1365     6.12
vardas1368     pavarde1368     6.04
vardas1369     pavarde1369     6.04
vardas1370     pavarde1370     9.28
vardas1374     pavarde1374      6.2
vardas1375     pavarde1375     6.64
vardas1376     pavarde1376     6.52
vardas1377     pavarde1377     5.68
vardas1380     pavarde1380        8
vardas1381     pavarde1381     5.28
vardas1383     pavarde1383      6.4
vardas1384     pavarde1384     6.36
vardas1386     pavarde1386     6.56
vardas1387     pavarde1387     6.12
vardas1388     pavarde1388     5.52
vardas1390     pavarde1390      5.6
vardas1391     pavarde1391     8.24
vardas1393     pavarde1393     7.72
vardas1394     pavarde1394     6.36
vardas1395     pavarde1395     8.72
vardas1396     pavarde1396     7.52
vardas1397     pavarde1397     6.76
vardas1401     pavarde1401     7.84
vardas1403     pavarde1403     5.68
vardas1404     pavarde1404     8.32
vardas1406     pavarde1406     7.08
vardas1407     pavarde1407     5.88
vardas1409     pavarde1409     7.44
vardas1410     pavarde1410     7.28
vardas1411     pavarde1411     7.16
vardas1412     pavarde1412     6.92
vardas1414     pavarde1414     7.28
vardas1415     pavarde1415     7.08
vardas1416     pavarde1416     6.84
vardas1417     pavarde1417      5.2
vardas1421     pavarde1421     5.56
vardas1423     pavarde1423     8.16
vardas1424     pavarde1424      5.2
vardas1425     pavarde1425     6.84
vardas1426     pavarde1426     5.16
vardas1427     pavarde1427     7.28
vardas1428     pavarde1428     7.28
vardas1434     pavarde1434     6.08
vardas1435     pavarde1435     6.44
vardas1438     pavarde1438     6.36
vardas1440     pavarde1440     8.12
vardas1442     pavarde1442     6.24
vardas1443     pavarde1443      5.2
vardas1445     pavarde1445     8.56
vardas1446     pavarde1446      6.8
vardas1448     pavarde1448      9.2
vardas1451     pavarde1451     7.28
vardas1453     pavarde1453        7
vardas1454     pavarde1454      6.2
vardas1455     pavarde1455     6.84
vardas1458     pavarde1458     5.92
vardas1459     pavarde1459     5.08
vardas1461     pavarde1461     6.08
vardas1462     pavarde1462     6.48
vardas1463     pavarde1463      6.4
vardas1465     pavarde1465     7.96
vardas1467     pavarde1467     7.48
vardas1468     pavarde1468     7.16
vardas1469     pavarde1469     6.96
vardas1470     pavarde1470     5.12
vardas1474     pavarde1474     7.76
vardas1477     pavarde1477     8.12
vardas1478     pavarde1478      7.2
vardas1483     pavarde1483        6
vardas1489     pavarde1489     5.76
vardas1491     pavarde1491     7.76
vardas1492     pavarde1492      7.6
vardas1493     pavarde1493     6.92
vardas1494     pavarde1494     7.48
vardas1496     pavarde1496     8.72
vardas1497     pavarde1497     8.44
vardas1498     pavarde1498     6.08
vardas1500     pavarde1500     6.28
vardas1502     pavarde1502     6.12
vardas1504     pavarde1504     7.52
vardas1505     pavarde1505     7.24
vardas1506     pavarde1506     8.88
vardas1508     pavarde1508     6.64
vardas1509     pavarde1509     7.16
vardas1511     pavarde1511     7.36
vardas1512     pavarde1512     5.44
vardas1514     pavarde1514      5.4
vardas1518     pavarde1518      7.6
vardas1519     pavarde1519     7.72
vardas1520     pavarde1520        6
vardas1523     pavarde1523     7.16
vardas1524     pavarde1524     8.04
vardas1528     pavarde1528     5.44
vardas1529     pavarde1529     6.48
vardas1532     pavarde1532     8.96
vardas1537     pavarde1537     5.12
vardas1540     pavarde1540     7.04
vardas1542     pavarde1542     5.32
vardas1547     pavarde1547     5.52
vardas1548     pavarde1548     6.52
vardas1549     pavarde1549     5.12
vardas1551     pavarde1551     7.68
vardas1552     pavarde1552     6.96
vardas1553     pavarde1553     6.92
vardas1554     pavarde1554     5.76
vardas1555     pavarde1555     8.72
vardas1556     pavarde1556     8.16
