Vardas         Pavarde        Galutinis (vid.)
vardas290      pavarde290      4.08
vardas293      pavarde293      4.08
vardas296      pavarde296      4.56
vardas298      pavarde298      4.84
vardas299      pavarde299      3.12
vardas300      pavarde300       2.6
vardas301      pavarde301       3.2
vardas302      pavarde302      4.72
vardas306      pavarde306      3.32
vardas307      pavarde307       3.8
vardas308      pavarde308      4.56
vardas309      pavarde309       2.6
vardas312      pavarde312      4.36
vardas314      pavarde314      3.16
vardas315      pavarde315      3.48
vardas316      pavarde316       3.6
vardas317      pavarde317      4.12
vardas318      pavarde318      4.84
vardas319      pavarde319      3.16
vardas321      pavarde321       2.6
vardas325      pavarde325      4.88
vardas328      pavarde328      4.24
vardas329      pavarde329      3.72
vardas330      pavarde330      4.72
vardas331      pavarde331      3.16
vardas335      pavarde335      3.52
vardas338      pavarde338      3.56
vardas339      pavarde339      4.04
vardas341      pavarde341      3.88
vardas344      pavarde344      3.12
vardas346      pavarde346      3.44
vardas347      pavarde347      2.88
vardas352      pavarde352      4.96
vardas355      pavarde355      4.88
vardas360      pavarde360      4.96
vardas363      pavarde363      4.16
vardas364      pavarde364      3.52
vardas365      pavarde365      2.76
vardas366      pavarde366      4.96
vardas367      pavarde367      2.24
vardas369      pavarde369      2.92
vardas373      pavarde373      4.64
vardas375      pavarde375      3.24
vardas377      pavarde377      2.64
vardas379      pavarde379      4.92
vardas380      pavarde380         2
vardas381      pavarde381      3.16
vardas383      pavarde383      1.72
vardas386      pavarde386      2.92
vardas387      pavarde387       3.8
vardas388      pavarde388         3
vardas389      pavarde389      4.64
vardas390      pavarde390      4.44
vardas391      pavarde391      2.92
vardas394      pavarde394      2.44
vardas395      pavarde395      3.76
vardas397      pavarde397      3.28
vardas398      pavarde398       4.6
vardas401      pavarde401      3.68
vardas404      pavarde404      4.24
vardas406      pavarde406      4.96
vardas408      pavarde408      4.36
vardas411      pavarde411      2.76
vardas415      pavarde415       2.6
vardas418      pavarde418      4.04
vardas421      pavarde421      2.52
vardas423      pavarde423      2.28
vardas424      pavarde424      3.56
vardas428      pavarde428      4.76
vardas433      pavarde433      2.96
vardas439      pavarde439      3.28
vardas441      pavarde441       3.8
vardas444      pavarde444      3.32
vardas445      pavarde445       2.2
vardas448      pavarde448      3.16
vardas451      pavarde451      3.44
vardas453      pavarde453      4.96
vardas454      pavarde454      2.52
vardas455      pavarde455      4.32
vardas456      pavarde456      3.12
vardas457      pavarde457      2.68
vardas458      pavarde458      3.44
vardas459      pavarde459      3.88
vardas464      pavarde464      4.24
vardas465      pavarde465      3.68
vardas467      pavarde467       3.4
vardas468      pavarde468       4.4
vardas470      pavarde470      4.44
vardas471      pavarde471      3.36
vardas472      pavarde472      3.64
vardas473      pavarde473      4.36
vardas474      pavarde474       2.6
vardas476      pavarde476      4.28
vardas477      pavarde477      3.64
vardas482      pavarde482      3.12
vardas483      pavarde483      1.64
vardas486      pavarde486      4.72
vardas487      pavarde487       4.6
vardas491      pavarde491      1.72
vardas493      pavarde493      3.08
vardas496      pavarde496      3.96
vardas499      pavarde499      3.44
vardas503      pavarde503      4.96
vardas504      pavarde504      4.44
vardas506      pavarde506      4.24
vardas508      pavarde508         4
vardas510      pavarde510       4.6
vardas516      pavarde516      3.84
vardas517      pavarde517      2.48
vardas518      pavarde518      3.28
vardas519      pavarde519      4.04
vardas522      pavarde522         3
vardas523      pavarde523      4.76
vardas525      pavarde525      2.28
vardas528      pavarde528       4.6
vardas532      pavarde532      4.96
vardas533      pavarde533      4.56
vardas535      pavarde535      3.56
vardas536      pavarde536      2.72
vardas538      pavarde538      4.68
vardas544      pavarde544      3.08
vardas550      pavarde550      4.44
vardas552      pavarde552      4.88
vardas555      pavarde555       4.4
vardas566      pavarde566      3.44
vardas567      pavarde567      2.92
vardas571      pavarde571      4.56
vardas572      pavarde572      2.52
vardas576      pavarde576       3.2
vardas577      pavarde577      4.68
vardas579      pavarde579      2.84
vardas580      pavarde580       4.4
vardas581      pavarde581      4.72
vardas584      pavarde584      4.24
vardas585      pavarde585      3.96
vardas587      pavarde587      2.92
vardas588      pavarde588      2.88
vardas591      pavarde591         4
vardas594      pavarde594      3.92
vardas602      pavarde602      4.24
vardas605      pavarde605      3.44
vardas607      pavarde607       4.8
vardas608      pavarde608       4.8
vardas610      pavarde610      3.48
vardas611      pavarde611      2.36
vardas619      pavarde619      4.08
vardas634      pavarde634       4.2
vardas636      pavarde636       2.2
vardas640      pavarde640      3.76
vardas643      pavarde643      4.64
vardas645      pavarde645      4.64
vardas646      pavarde646      4.84
vardas650      pavarde650      3.76
vardas651      pavarde651       4.2
vardas652      pavarde652      3.84
vardas654      pavarde654      2.68
vardas659      pavarde659       4.2
vardas660      pavarde660      2.84
vardas662      pavarde662       2.6
vardas663      pavarde663      3.24
vardas664      pavarde664      4.36
vardas667      pavarde667      3.32
vardas669      pavarde669       4.4
vardas672      pavarde672      2.48
vardas674      pavarde674      3.76
vardas677      pavarde677      3.64
vardas678      pavarde678      2.36
vardas679      pavarde679      3.44
vardas682      pavarde682      4.36
vardas683      pavarde683      3.72
vardas690      pavarde690       4.8
vardas694      pavarde694      4.36
vardas697      pavarde697      2.92
vardas700      pavarde700      4.32
vardas702      pavarde702       4.2
vardas703      pavarde703      2.68
vardas704      pavarde704      4.64
vardas705      pavarde705       3.8
vardas706      pavarde706      4.88
vardas707      pavarde707      4.28
vardas710      pavarde710      3.24
vardas711      pavarde711      4.32
vardas713      pavarde713      4.96
vardas714      pavarde714      3.76
vardas718      pavarde718      2.92
vardas719      pavarde719      3.28
vardas720      pavarde720      4.88
vardas722      pavarde722      4.04
vardas724      pavarde724      3.24
vardas727      pavarde727      3.52
vardas730      pavarde730      4.16
vardas732      pavarde732       3.4
vardas734      pavarde734         4
vardas735      pavarde735      4.64
vardas736      pavarde736         3
vardas737      pavarde737      4.28
vardas740      pavarde740      4.72
vardas743      pavarde743      4.16
vardas747      pavarde747      1.88
vardas750      pavarde750      2.28
vardas753      pavarde753      2.76
vardas754      pavarde754      4.24
vardas758      pavarde758      3.16
vardas767      pavarde767       3.8
vardas769      pavarde769      4.32
vardas770      pavarde770      4.84
vardas774      pavarde774       4.4
vardas777      pavarde777       4.4
vardas781      pavarde781      4.28
vardas786      pavarde786      2.68
vardas788      pavarde788      3.56
vardas789      pavarde789      2.92
vardas790      pavarde790      4.44
vardas792      pavarde792      2.92
vardas793      pavarde793      4.88
vardas798      pavarde798       4.4
vardas799      pavarde799      4.84
vardas801      pavarde801      3.92
vardas805      pavarde805       4.4
vardas806      pavarde806       4.6
vardas808      pavarde808      3.52
vardas809      pavarde809      4.76
vardas812      pavarde812      4.56
vardas813      pavarde813      4.56
vardas814      pavarde814       4.6
vardas817      pavarde817      3.88
vardas818      pavarde818      4.12
vardas820      pavarde820      3.52
vardas830      pavarde830      4.56
vardas837      pavarde837      2.44
vardas839      pavarde839      3.12
vardas846      pavarde846      4.88
vardas850      pavarde850      3.56
vardas855      pavarde855      4.84
vardas858      pavarde858      2.68
vardas861      pavarde861       2.6
vardas863      pavarde863      4.04
vardas866      pavarde866      4.04
vardas867      pavarde867      3.96
vardas871      pavarde871      3.32
vardas872      pavarde872      4.16
vardas873      pavarde873      3.64
vardas875      pavarde875       3.6
vardas876      pavarde876      4.36
vardas877      pavarde877      4.44
vardas879      pavarde879      4.56
vardas880      pavarde880      2.84
vardas881      pavarde881       2.2
vardas882      pavarde882      3.72
vardas883      pavarde883      3.56
vardas884      pavarde884      4.48
vardas887      pavarde887      3.44
vardas888      pavarde888      4.56
vardas889      pavarde889      3.08
vardas895      pavarde895      4.28
vardas896      pavarde896      2.96
vardas897      pavarde897       3.2
vardas898      pavarde898      2.44
vardas899      pavarde899      2.92
vardas900      pavarde900      2.68
vardas901      pavarde901         4
vardas903      pavarde903      2.72
vardas904      pavarde904      3.64
vardas907      pavarde907      2.04
vardas908      pavarde908      3.32
vardas911      pavarde911      4.16
vardas912      pavarde912      4.24
vardas915      pavarde915      3.76
vardas917      pavarde917      4.24
vardas918      pavarde918       3.8
vardas921      pavarde921      4.16
vardas922      pavarde922      3.72
vardas925      pavarde925      1.72
vardas929      pavarde929      2.04
vardas930      pavarde930      3.36
vardas933      pavarde933      2.44
vardas934      pavarde934       4.2
vardas935      pavarde935      2.56
vardas936      pavarde936      4.36
vardas937      pavarde937      4.32
vardas938      pavarde938      4.12
vardas941      pavarde941      3.96
vardas942      pavarde942       3.2
vardas950      pavarde950      3.76
vardas954      pavarde954      4.44
vardas956      pavarde956      4.88
vardas960      pavarde960      4.56
vardas962      pavarde962         4
vardas964      pavarde964      3.32
vardas965      pavarde965       2.6
vardas968      pavarde968      3.68
vardas970      pavarde970      2.52
vardas971      pavarde971      3.36
vardas972      pavarde972      4.16
vardas973      pavarde973      4.88
vardas976      pavarde976      2.68
vardas978      pavarde978      3.64
vardas980      pavarde980      3.84
vardas981      pavarde981      4.68
vardas984      pavarde984      4.56
vardas988      pavarde988      3.36
vardas997      pavarde997       4.8
vardas1000     pavarde1000     3.16
vardas1004     pavarde1004     3.52
vardas1005     pavarde1005     3.92
vardas1011     pavarde1011     4.24
vardas1022     pavarde1022     2.04
vardas1024     pavarde1024     3.68
vardas1025     pavarde1025     4.96
vardas1026     pavarde1026     4.04
vardas1029     pavarde1029     3.44
vardas1031     pavarde1031      4.8
vardas1036     pavarde1036     3.52
vardas1038     pavarde1038      4.2
vardas1039     pavarde1039     4.56
vardas1040     pavarde1040      3.4
vardas1041     pavarde1041     3.96
vardas1042     pavarde1042     2.64
vardas1044     pavarde1044      4.8
vardas1048     pavarde1048      2.8
vardas1050     pavarde1050     2.76
vardas1055     pavarde1055     4.96
vardas1056     pavarde1056     4.92
vardas1063     pavarde1063     3.36
vardas1064     pavarde1064        4
vardas1067     pavarde1067     2.52
vardas1070     pavarde1070     3.76
vardas1071     pavarde1071     3.12
vardas1074     pavarde1074     4.24
vardas1075     pavarde1075     2.92
vardas1076     pavarde1076     3.32
vardas1077     pavarde1077     3.96
vardas1081     pavarde1081     3.12
vardas1082     pavarde1082      4.2
vardas1083     pavarde1083     3.24
vardas1084     pavarde1084      4.8
vardas1085     pavarde1085      4.6
vardas1086     pavarde1086      2.6
vardas1087     pavarde1087     3.64
vardas1091     pavarde1091      4.4
vardas1092     pavarde1092     3.28
vardas1093     pavarde1093     2.84
vardas1100     pavarde1100     2.44
vardas1103     pavarde1103        4
vardas1104     pavarde1104     4.84
vardas1105     pavarde1105     3.88
vardas1108     pavarde1108      2.8
vardas1110     pavarde1110     3.12
vardas1111     pavarde1111     4.04
vardas1112     pavarde1112     2.96
vardas1113     pavarde1113     4.76
vardas1118     pavarde1118     3.48
vardas1119     pavarde1119     3.24
vardas1124     pavarde1124      3.6
vardas1127     pavarde1127     4.56
vardas1128     pavarde1128      2.2
vardas1131     pavarde1131      4.6
vardas1133     pavarde1133     2.56
vardas1139     pavarde1139     2.28
vardas1143     pavarde1143      3.6
vardas1144     pavarde1144     3.24
vardas1146     pavarde1146     4.32
vardas1148     pavarde1148     4.24
vardas1150     pavarde1150     4.44
vardas1154     pavarde1154      3.8
vardas1155     pavarde1155     4.64
vardas1156     pavarde1156      2.2
vardas1158     pavarde1158     4.24
vardas1159     pavarde1159     1.88
vardas1160     pavarde1160     4.04
vardas1161     pavarde1161     1.72
vardas1162     pavarde1162      4.8
vardas1171     pavarde1171     3.68
vardas1172     pavarde1172     4.04
vardas1176     pavarde1176     4.84
vardas1178     pavarde1178     2.56
vardas1180     pavarde1180      4.8
vardas1181     pavarde1181     3.72
vardas1182     pavarde1182     3.84
vardas1186     pavarde1186     4.16
vardas1187     pavarde1187     2.76
vardas1190     pavarde1190      3.4
vardas1196     pavarde1196     4.88
vardas1200     pavarde1200      3.6
vardas1201     pavarde1201     3.16
vardas1202     pavarde1202     3.32
vardas1204     pavarde1204     4.84
vardas1206     pavarde1206     4.52
vardas1209     pavarde1209     3.36
vardas1211     pavarde1211      4.2
vardas1212     pavarde1212     4.52
vardas1213     pavarde1213     4.72
vardas1214     pavarde1214     4.96
vardas1216     pavarde1216     4.56
vardas1219     pavarde1219     3.48
vardas1220     pavarde1220     2.44
vardas1224     pavarde1224     2.84
vardas1225     pavarde1225     2.36
vardas1226     pavarde1226        3
vardas1227     pavarde1227     2.88
vardas1228     pavarde1228     4.72
vardas1230     pavarde1230      3.2
vardas1235     pavarde1235     3.96
vardas1242     pavarde1242      3.4
vardas1243     pavarde1243        4
vardas1247     pavarde1247     3.28
vardas1249     pavarde1249     4.52
vardas1259     pavarde1259     2.24
vardas1260     pavarde1260     2.16
vardas1261     pavarde1261      3.8
vardas1263     pavarde1263     3.08
vardas1264     pavarde1264     4.56
vardas1265     pavarde1265     3.36
vardas1266     pavarde1266     3.72
vardas1267     pavarde1267     4.56
vardas1269     pavarde1269     4.56
vardas1270     pavarde1270     3.04
vardas1272     pavarde1272     3.16
vardas1282     pavarde1282     3.28
vardas1285     pavarde1285     3.96
vardas1286     pavarde1286     3.24
vardas1288     pavarde1288     4.44
vardas1290     pavarde1290     4.76
vardas1297     pavarde1297     2.48
vardas1300     pavarde1300     3.08
vardas1301     pavarde1301     4.56
vardas1302     pavarde1302     3.96
vardas1303     pavarde1303     3.84
vardas1304     pavarde1304     4.88
vardas1305     pavarde1305        3
vardas1307     pavarde1307     4.04
vardas1310     pavarde1310      1.8
vardas1312     pavarde1312     4.64
vardas1313     pavarde1313     3.12
vardas1322     pavarde1322        3
vardas1324     pavarde1324     3.64
vardas1325     pavarde1325     4.52
vardas1328     pavarde1328     3.28
vardas1329     pavarde1329     4.76
vardas1330     pavarde1330     3.64
vardas1336     pavarde1336      4.8
vardas1341     pavarde1341      2.8
vardas1344     pavarde1344     2.32
vardas1345     pavarde1345     3.32
vardas1348     pavarde1348     4.48
vardas1350     pavarde1350        3
vardas1352     pavarde1352     3.64
vardas1353     pavarde1353     2.92
vardas1355     pavarde1355      4.4
vardas1356     pavarde1356     4.84
vardas1358     pavarde1358        3
vardas1360     pavarde1360     4.72
vardas1361     pavarde1361     4.48
vardas1363     pavarde1363     2.84
vardas1366     pavarde1366      4.8
vardas1367     pavarde1367     3.96
vardas1371     pavarde1371     2.36
vardas1372     pavarde1372     4.64
vardas1373     pavarde1373     3.48
vardas1378     pavarde1378     4.76
vardas1379     pavarde1379      3.8
vardas1382     pavarde1382     4.64
vardas1385     pavarde1385     3.52
vardas1389     pavarde1389     4.48
vardas1392     pavarde1392     3.88
vardas1398     pavarde1398     4.56
vardas1399     pavarde1399     2.44
vardas1400     pavarde1400     4.76
vardas1402     pavarde1402     3.88
vardas1405     pavarde1405      4.8
vardas1408     pavarde1408     4.52
vardas1413     pavarde1413      3.4
vardas1418     pavarde1418     4.28
vardas1419     pavarde1419      4.4
vardas1420     pavarde1420     3.28
vardas1422     pavarde1422     4.04
vardas1429     pavarde1429     4.16
vardas1430     pavarde1430     3.32
vardas1431     pavarde1431     4.64
vardas1432     pavarde1432      2.8
vardas1433     pavarde1433     2.48
vardas1436     pavarde1436      4.8
vardas1437     pavarde1437      3.8
vardas1439     pavarde1439     3.56
vardas1441     pavarde1441     4.28
vardas1444     pavarde1444     2.88
vardas1447     pavarde1447     3.52
vardas1449     pavarde1449      4.2
vardas1450     pavarde1450     4.96
vardas1452     pavarde1452     3.56
vardas1456     pavarde1456     3.56
vardas1457     pavarde1457        4
vardas1460     pavarde1460     3.36
vardas1464     pavarde1464      3.6
vardas1466     pavarde1466     4.64
vardas1471     pavarde1471     4.24
vardas1472     pavarde1472     4.72
vardas1473     pavarde1473     4.36
vardas1475     pavarde1475        3
vardas1476     pavarde1476      4.6
vardas1479     pavarde1479     4.72
vardas1480     pavarde1480     3.08
vardas1481     pavarde1481     3.48
vardas1482     pavarde1482        3
vardas1484     pavarde1484     3.24
vardas1485     pavarde1485      4.8
vardas1486     pavarde1486     3.28
vardas1487     pavarde1487     3.44
vardas1488     pavarde1488     2.52
vardas1490     pavarde1490     3.32
vardas1495     pavarde1495     3.36
vardas1499     pavarde1499     3.88
vardas1501     pavarde1501     2.56
vardas1503     pavarde1503     2.04
vardas1507     pavarde1507     2.72
vardas1510     pavarde1510     4.88
vardas1513     pavarde1513     3.44
vardas1515     pavarde1515      4.8
vardas1516     pavarde1516     3.56
vardas1517     pavarde1517     3.28
vardas1521     pavarde1521     4.12
vardas1522     pavarde1522     4.96
vardas1525     pavarde1525      2.6
vardas1526     pavarde1526        3
vardas1527     pavarde1527     4.08
vardas1530     pavarde1530     2.68
vardas1531     pavarde1531     3.64
vardas1533     pavarde1533     4.32
vardas1534     pavarde1534     2.96
vardas1535     pavarde1535     3.76
vardas1536     pavarde1536     4.28
vardas1538     pavarde1538      4.8
vardas1539     pavarde1539      4.2
vardas1541     pavarde1541      4.6
vardas1543     pavarde1543     2.44
vardas1544     pavarde1544     3.72
vardas1545     pavarde1545     3.36
vardas1546     pavarde1546     4.92
vardas1550     pavarde1550     4.92
vardas1557     pavarde1557     3.88
vardas1559     pavarde1559      2.8
vardas1561     pavarde1561      2.4
vardas1569     pavarde1569     3.44
vardas1574     pavarde1574     3.44
vardas1575     pavarde1575     2.44
vardas1577     pavarde1577     3.64
vardas1578     pavarde1578     3.08
vardas1584     pavarde1584     4.32
vardas1588     pavarde1588     4.28
vardas1589     pavarde1589     3.08
vardas1590     pavarde1590      4.8
vardas1595     pavarde1595     4.92
vardas1596     pavarde1596     3.16
vardas1597     pavarde1597     3.76
vardas1600     pavarde1600      3.8
vardas1601     pavarde1601     4.84
vardas1602     pavarde1602     4.48
vardas1606     pavarde1606      3.8
vardas1607     pavarde1607     4.16
vardas1610     pavarde1610     4.68
vardas1611     pavarde1611     3.56
vardas1614     pavarde1614     4.88
vardas1617     pavarde1617     2.28
vardas1618     pavarde1618     3.12
vardas1619     pavarde1619     4.08
vardas1620     pavarde1620     3.04
vardas1621     pavarde1621     4.72
vardas1622     pavarde1622     4.76
vardas1624     pavarde1624     3.96
vardas1628     pavarde1628     2.36
vardas1630     pavarde1630     3.44
vardas1634     pavarde1634     3.32
vardas1639     pavarde1639     3.24
vardas1641     pavarde1641     4.12
vardas1646     pavarde1646     2.28
vardas1648     pavarde1648     3.36
vardas1652     pavarde1652     4.52
vardas1653     pavarde1653     3.16
vardas1654     pavarde1654     3.96
vardas1658     pavarde1658     2.84
vardas1660     pavarde1660     4.52
vardas1661     pavarde1661     3.36
vardas1662     pavarde1662     4.84
vardas1663     pavarde1663     4.88
vardas1664     pavarde1664      3.4
vardas1666     pavarde1666     4.56
vardas1668     pavarde1668        3
vardas1669     pavarde1669     4.44
vardas1671     pavarde1671     4.56
vardas1673     pavarde1673      3.6
vardas1676     pavarde1676     3.68
vardas1679     pavarde1679     3.92
vardas1681     pavarde1681     3.76
vardas1682     pavarde1682      2.8
vardas1684     pavarde1684     1.72
vardas1687     pavarde1687     1.88
vardas1692     pavarde1692      2.6
vardas1694     pavarde1694     4.36
vardas1697     pavarde1697     4.64
vardas1704     pavarde1704     3.36
vardas1708     pavarde1708     2.44
vardas1711     pavarde1711     2.76
vardas1712     pavarde1712     2.96
vardas1713     pavarde1713     4.68
vardas1714     pavarde1714     3.32
vardas1715     pavarde1715      2.6
vardas1716     pavarde1716     3.48
vardas1721     pavarde1721     3.56
vardas1725     pavarde1725     3.04
vardas1727     pavarde1727     2.68
vardas1728     pavarde1728     4.84
vardas1729     pavarde1729     4.68
vardas1730     pavarde1730     4.64
vardas1731     pavarde1731      2.4
vardas1732     pavarde1732     3.08
vardas1733     pavarde1733     3.84
vardas1735     pavarde1735     3.12
vardas1736     pavarde1736     4.04
vardas1739     pavarde1739     3.88
vardas1740     pavarde1740     2.28
vardas1744     pavarde1744     3.32
vardas1745     pavarde1745      4.2
vardas1748     pavarde1748      2.6
vardas1750     pavarde1750     3.12
vardas1751     pavarde1751     4.32
vardas1753     pavarde1753     3.32
vardas1755     pavarde1755     4.56
vardas1758     pavarde1758     3.36
vardas1760     pavarde1760     2.96
vardas1761     pavarde1761     4.24
vardas1768     pavarde1768     3.68
vardas1771     pavarde1771     2.44
vardas1772     pavarde1772     2.92
vardas1775     pavarde1775     2.36
vardas1777     pavarde1777     3.36
vardas1786     pavarde1786     3.96
vardas1788     pavarde1788     3.92
vardas1790     pavarde1790     3.24
vardas1795     pavarde1795     4.64
vardas1796     pavarde1796      3.2
vardas1799     pavarde1799     3.68
vardas1805     pavarde1805     2.52
vardas1806     pavarde1806     2.92
vardas1808     pavarde1808     3.56
vardas1812     pavarde1812     3.72
vardas1814     pavarde1814     3.68
vardas1815     pavarde1815     2.52
vardas1818     pavarde1818     3.44
vardas1819     pavarde1819     2.52
vardas1822     pavarde1822      4.2
vardas1824     pavarde1824     4.16
vardas1825     pavarde1825      3.4
vardas1827     pavarde1827     3.52
vardas1828     pavarde1828     3.04
vardas1831     pavarde1831     4.84
vardas1834     pavarde1834     3.56
vardas1835     pavarde1835     3.36
vardas1839     pavarde1839     2.72
vardas1842     pavarde1842     4.08
vardas1845     pavarde1845     4.04
vardas1847     pavarde1847      4.2
vardas1851     pavarde1851     3.72
vardas1852     pavarde1852        3
vardas1853     pavarde1853     3.44
vardas1854     pavarde1854     3.52
vardas1856     pavarde1856     2.04
vardas1857     pavarde1857     3.24
vardas1858     pavarde1858     3.04
vardas1859     pavarde1859     3.32
vardas1867     pavarde1867     4.12
vardas1869     pavarde1869     2.28
vardas1871     pavarde1871     3.84
vardas1875     pavarde1875      3.6
vardas1881     pavarde1881     4.08
vardas1888     pavarde1888     2.92
vardas1889     pavarde1889     4.76
vardas1892     pavarde1892     2.96
vardas1895     pavarde1895     3.76
vardas1897     pavarde1897     2.36
vardas1899     pavarde1899     3.04
vardas1900     pavarde1900     3.08
vardas1901     pavarde1901     2.88
vardas1902     pavarde1902     2.28
vardas1903     pavarde1903     3.28
vardas1904     pavarde1904     3.52
vardas1909     pavarde1909     2.56
vardas1910     pavarde1910      3.2
vardas1911     pavarde1911     2.72
vardas1915     pavarde1915     2.52
vardas1919     pavarde1919     4.16
vardas1924     pavarde1924     1.64
vardas1928     pavarde1928     2.56
vardas1932     pavarde1932     3.72
vardas1933     pavarde1933     2.28
vardas1934     pavarde1934     2.36
vardas1937     pavarde1937     2.68
vardas1939     pavarde1939     3.84
vardas1940     pavarde1940     3.68
vardas1944     pavarde1944     4.12
vardas1947     pavarde1947     2.92
vardas1950     pavarde1950     3.72
vardas1953     pavarde1953     4.96
vardas1955     pavarde1955     3.76
vardas1957     pavarde1957      3.8
vardas1958     pavarde1958     4.72
vardas1961     pavarde1961      4.6
vardas1964     pavarde1964     2.64
vardas1966     pavarde1966     4.48
vardas1967     pavarde1967     2.52
vardas1968     pavarde1968     2.92
vardas1969     pavarde1969     2.64
vardas1970     pavarde1970     4.64
vardas1971     pavarde1971     4.76
vardas1972     pavarde1972     3.84
vardas1973     pavarde1973      4.8
vardas1975     pavarde1975     3.08
vardas1977     pavarde1977     4.08
vardas1983     pavarde1983     4.08
vardas1985     pavarde1985      2.6
vardas1986     pavarde1986     4.24
vardas1988     pavarde1988      3.4
vardas1993     pavarde1993     4.72
vardas1995     pavarde1995     4.28
vardas2000     pavarde2000      3.6
vardas2001     pavarde2001     4.96
vardas2003     pavarde2003     3.76
vardas2005     pavarde2005     2.72
vardas2008     pavarde2008     4.84
vardas2010     pavarde2010     3.96
vardas2011     pavarde2011      4.2
vardas2013     pavarde2013     3.52
vardas2015     pavarde2015     2.52
vardas2020     pavarde2020     4.32
vardas2021     pavarde2021     4.88
vardas2022     pavarde2022      3.2
vardas2023     pavarde2023     4.04
vardas2024     pavarde2024     3.92
vardas2029     pavarde2029     2.92
vardas2034     pavarde2034     3.76
vardas2040     pavarde2040     3.56
vardas2041     pavarde2041     3.16
vardas2043     pavarde2043      4.6
vardas2045     pavarde2045      4.2
vardas2046     pavarde2046      3.8
vardas2047     pavarde2047     4.96
vardas2048     pavarde2048     1.96
vardas2053     pavarde2053     4.32
vardas2055     pavarde2055     3.16
